freq,unit,geo\TIME_PERIOD	2017 	2018 	2019 	2020 	2021 
A,PC_HH,TR4	73.11 	79.00 	88.74 	90.32 	93.73 
A,PC_HH,TR5	83.73 	83.33 	91.43 	92.61 	94.23 
A,PC_HH,TR6	79.10 	86.05 	87.87 	90.27 	91.26 
A,PC_HH,TR7	76.54 	81.96 	88.70 	87.49 	89.56 
A,PC_HH,TR8	76.14 	77.73 	80.24 	81.16 	84.54 
A,PC_HH,TR9	68.70 	80.51 	83.80 	86.34 	88.29 
A,PC_HH,TRA	67.22 	75.54 	86.99 	86.88 	86.61 
A,PC_HH,TRB	72.34 	78.34 	87.29 	87.83 	90.37 
A,PC_HH,TRC	68.86 	78.48 	80.64 	86.15 	93.85 
A,PC_HH,UK	93.14 	94.82 	95.84 	: u	: 
A,PC_HH,UKC	84.36 	93.37 	91.39 	: u	: 
A,PC_HH,UKD	92.85 	92.70 	94.65 	: u	: 
A,PC_HH,UKE	91.39 	94.71 	94.69 	: u	: 
A,PC_HH,UKF	90.75 	95.33 	92.87 	: u	: 
A,PC_HH,UKG	94.46 	97.34 	97.79 	: u	: 
A,PC_HH,UKH	93.53 	94.73 	97.13 	: u	: 
A,PC_HH,UKI	95.71 	95.41 	97.78 	: u	: 
A,PC_HH,UKJ	96.27 	96.34 	98.58 	: u	: 
A,PC_HH,UKK	94.23 	93.92 	96.02 	: u	: 
A,PC_HH,UKL	89.51 	95.96 	92.85 	: u	: 
A,PC_HH,UKM	93.86 	92.26 	94.36 	: u	: 
A,PC_HH,UKN	87.25 	94.22 	93.96 	: 	: 
A,PC_HH,XK	88.77 	93.20 	93.19 	96.36 	: 
